Query,ISO,Language,Type,Plurality,Gender,Case,Demonym,Attributes,Canonical
ucraiñences,ca,Catalan,Noun,Plural,Feminine,-,Yes,N-P-F,FALSE
ucraiñencs,ca,Catalan,Noun,Plural,Masculine,-,Yes,N-P-M,FALSE
ucraniana,es,Spanish,"Noun, Adjective","Singular, Plural",Feminine,-,"Yes, No",A+N-P/S-F,FALSE
ucraniana,pt,Portuguese,"Noun, Adjective","Singular, Plural",Feminine,-,"Yes, No",A+N-P/S-F,FALSE
ucraniano,es,Spanish,"Noun, Adjective","Singular, Plural",Masculine,-,"Yes, No",A+N-P/S-M,FALSE
ucraniano,pt,Portuguese,"Noun, Adjective","Singular, Plural",Masculine,-,"Yes, No",A+N-P/S-M,FALSE
ucraïnesa,ca,Catalan,"Noun, Adjective",Singular,Feminine,-,"Yes, No",A+N-S-F,FALSE
ucraïneses,ca,Catalan,"Noun, Adjective",Plural,Feminine,-,"Yes, No",A+N-P-F,FALSE
ucraïnesos,ca,Catalan,"Noun, Adjective",Plural,Masculine,-,"Yes, No",A+N-P-M,FALSE
ucraïnès,ca,Catalan,"Noun, Adjective",Singular,Masculine,-,"Yes, No",A+N-S-M,FALSE
ukraina,et,Estonian,"Noun, Adjective",Singular,-,-,No,A+N-S,FALSE
ukrainalainen,fi,Finnish,"Noun, Adjective",Singular,-,-,"Yes, No",A+N-S,FALSE
ukrainalaiset,fi,Finnish,"Noun, Adjective",Plural,-,-,"Yes, No",A+N-P,FALSE
ukrainare,sv,Swedish,Noun,"Singular, Plural",Common,-,Yes,N-P/S,FALSE
